original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,pre/post,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes,
1,ACC-2008-07-26-MI-01-tagged.CHA,spa,CHILEMEX,FAT,.,.,.,.,Father,.,.,13,?,"cuál quieres ser &e (.) cuál quieres ser, el azul o rojo ?%mor: pro:int|cuál=which v|quere-2S&PRES=want n|ser&m=being pro:int|cuál=which v|quere-2S&PRES=want n|ser&m=being cm|cm det:art|el&m&SG=the adj|azul=blue coord|o=or adj|rojo-m=red ?",%mor:,0,,,,0,0,0,,,,,
2,ACC-2008-07-26-MI-01-tagged.CHA,spa,CHILEMEX,FAT,.,.,.,.,Father,.,.,13,v|quere-2s&pres=want,"cuál quieres ser &e (.) cuál quieres ser, el azul o rojo ?%mor: pro:int|cuál=which v|quere-2S&PRES=want n|ser&m=being pro:int|cuál=which v|quere-2S&PRES=want n|ser&m=being cm|cm det:art|el&m&SG=the adj|azul=blue coord|o=or adj|rojo-m=red ?",%svd:,querer,0,,1,2,s,pres,na,na,,,
3,ACC-2008-07-26-MI-01-tagged.CHA,spa,CHILEMEX,FAT,.,.,.,.,Father,.,.,13,v|quere-2s&pres=want,"cuál quieres ser &e (.) cuál quieres ser, el azul o rojo ?%mor: pro:int|cuál=which v|quere-2S&PRES=want n|ser&m=being pro:int|cuál=which v|quere-2S&PRES=want n|ser&m=being cm|cm det:art|el&m&SG=the adj|azul=blue coord|o=or adj|rojo-m=red ?",%svd:,querer,0,,1,2,s,pres,same,same,,,
4,ACC-2008-07-26-MI-01-tagged.CHA,.,.,CHI,.,.,.,.,Target_Child,.,.,17,.,el rojo .%mor: det:art|el&m&SG=the adj|rojo-m=red .,%mor:,0,,,,0,0,0,,,,,
5,ACC-2008-07-26-MI-01-tagged.CHA,.,.,CHI,.,.,.,.,Target_Child,.,.,17,.,"el rojo .%com: mother talks in the background but father keeps on talking with the child, they are playing the game Guess who .",%com:,0,,,,0,0,0,,,,,
6,ACC-2008-07-26-MI-01-tagged.CHA,spa,CHILEMEX,FAT,.,.,.,.,Father,.,.,21,+/.,pue(s) vamos a empezar +/.%mor: co|pues=well v|i-1P&PRES=go aprep|a=to inf|empeza-INF=begin +/.,%mor:,0,,,,0,0,0,,,,,
7,ACC-2008-07-26-MI-01-tagged.CHA,spa,CHILEMEX,FAT,.,.,.,.,Father,.,.,21,v|i-1p&pres=go,pue(s) vamos a empezar +/.%mor: co|pues=well v|i-1P&PRES=go aprep|a=to inf|empeza-INF=begin +/.,%svd:,ir,0,,1,1,p,pres,na,na,,,
8,ACC-2008-07-26-MI-01-tagged.CHA,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,23,?,xxx ?,%mor:,0,,,,0,0,0,,,,,
9,ACC-2008-07-26-MI-01-tagged.CHA,spa,CHILEMEX,FAT,.,.,.,.,Father,.,.,24,.,"+, vamos a empezar a jugar .%mor: v|i-1P&PRES=go aprep|a=to inf|empeza-INF=begin aprep|a=to inf|juga-INF=play .",%mor:,0,,,,0,0,0,,,,,
10,ACC-2008-07-26-MI-01-tagged.CHA,spa,CHILEMEX,FAT,.,.,.,.,Father,.,.,24,v|i-1p&pres=go,"+, vamos a empezar a jugar .%mor: v|i-1P&PRES=go aprep|a=to inf|empeza-INF=begin aprep|a=to inf|juga-INF=play .",%svd:,ir,0,,1,1,p,pres,na,na,,,
11,ACC-2008-07-26-MI-01-tagged.CHA,spa,CHILEMEX,FAT,.,.,.,.,Father,.,.,27,?,"el &a, el adivina quién e(s) ?%mor: det:art|el&m&SG=the cm|cm det:art|el&m&SG=the v|adivina-3S&PRES=divine pro:int|quién=who cop|se-3S&PRES=be ?",%mor:,0,,,,0,0,0,,,,,
12,ACC-2008-07-26-MI-01-tagged.CHA,spa,CHILEMEX,FAT,.,.,.,.,Father,.,.,27,v|adivina-3s&pres=divine,"el &a, el adivina quién e(s) ?%mor: det:art|el&m&SG=the cm|cm det:art|el&m&SG=the v|adivina-3S&PRES=divine pro:int|quién=who cop|se-3S&PRES=be ?",%svd:,adivinar,1,,1,3,s,pres,na,switch,,,
13,ACC-2008-07-26-MI-01-tagged.CHA,spa,CHILEMEX,FAT,.,.,.,.,Father,.,.,27,cop|se-3s&pres=be,"el &a, el adivina quién e(s) ?%mor: det:art|el&m&SG=the cm|cm det:art|el&m&SG=the v|adivina-3S&PRES=divine pro:int|quién=who cop|se-3S&PRES=be ?",%svd:,ser,wh,,1,3,s,pres,na,na,,,
14,ACC-2008-07-26-MI-01-tagged.CHA,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,30,.,xxx .,%mor:,0,,,,0,0,0,,,,,
15,ACC-2008-07-26-MI-01-tagged.CHA,spa,CHILEMEX,FAT,.,.,.,.,Father,.,.,31,?,con trampitas o sin trampitas ?%mor: prep|con=with n|trampa&f-DIM-PL=trick coord|o=or prep|sin=without n|trampa&f-DIM-PL=trick ?,%mor:,0,,,,0,0,0,,,,,
16,ACC-2008-07-26-MI-01-tagged.CHA,spa,CHILEMEX,FAT,.,.,.,.,Father,.,.,34,?,&eh ?,%mor:,0,,,,0,0,0,,,,,
17,ACC-2008-07-26-MI-01-tagged.CHA,.,.,CHI,.,.,.,.,Target_Child,.,.,35,.,+< sin trampitas .%mor: prep|sin=without n|trampa&f-DIM-PL=trick .,%mor:,0,,,,0,0,0,,,,,
18,ACC-2008-07-26-MI-01-tagged.CHA,spa,CHILEMEX,FAT,.,.,.,.,Father,.,.,37,?,&eh ?,%mor:,0,,,,0,0,0,,,,,
19,ACC-2008-07-26-MI-01-tagged.CHA,.,.,CHI,.,.,.,.,Target_Child,.,.,38,.,sin trampitas .%mor: prep|sin=without n|trampa&f-DIM-PL=trick .,%mor:,0,,,,0,0,0,,,,,
20,ACC-2008-07-26-MI-01-tagged.CHA,spa,CHILEMEX,FAT,.,.,.,.,Father,.,.,40,?,"&&ah bueno conste, &eh ?%mor: co|bueno=good v|consta-13S&SUB&PRES=stated cm|cm ?",%mor:,0,,,,0,0,0,,,,,
