original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,pre/post,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes,
1,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,12,.,aquí mira después +/.%com: recording cuts out and then back in .,%mor:,0,,,,0,0,0,,,,,
2,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,12,.,aquí mira después +/.%com: recording cuts out and then back in .,%com:,0,,,,0,0,0,,,,,
3,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;3,.,Target_Child,.,.,15,+...,"mami se me, se me +...",%mor:,0,,,,0,0,0,,,,,
4,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,18,.,"+, zafó .",%mor:,0,,,,0,0,0,,,,,
5,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,18,v|zafa-3s&pret=escapes,"+, zafó .%mor: v|zafa-3S&PRET=escapes .",%svd:,zafar,0,,0,3,s,pret,,,,,
6,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,20,.,"tú tien(es), no lo tienes que quitar .",%mor:,0,,,,0,0,0,,,,,
7,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,20,v|tene-2s&pres=have,"tú tien(es), no lo tienes que quitar .%mor: pro:sub|tú=you v|tene-2S&PRES=have cm|cm co|no=no pro:obj|lo&m=him v|tene-2S&PRES=have pro:rel|que=that inf|quita-INF=remove .",%svd:,tener,na,na,na,na,na,na,na,na,na,false start,
8,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,20,v|tene-2s&pres=have,"tú tien(es), no lo tienes que quitar .%mor: pro:sub|tú=you v|tene-2S&PRES=have cm|cm co|no=no pro:obj|lo&m=him v|tene-2S&PRES=have pro:rel|que=that inf|quita-INF=remove .",%svd:,tener,1,0,1,2,s,pres,,,,,
9,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,23,?,lo vas a dejar aquí ?,%mor:,0,,,,0,0,0,,,,,
10,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,23,v|i-2s&pres=go,lo vas a dejar aquí ?%mor: pro:obj|lo&m=him v|i-2S&PRES=go aprep|a=to inf|deja-INF=leave adv|aquí=here ?,%svd:,ir,0,,1,2,s,pres,,,,,
11,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,26,.,y sin moverlo .%com: putting microphone .,%mor:,0,,,,0,0,0,,,,,
12,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,26,.,y sin moverlo .%com: putting microphone .,%com:,0,,,,0,0,0,,,,,
13,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,29,?,estamos ?,%mor:,0,,,,0,0,0,,,,,
14,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,29,aux|esta-1p&pres&pret=be,estamos ?%mor: aux|esta-1P&PRES&PRET=be ?,%svd:,estar,0,,1,1,p,pres,,switch,,,
15,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,31,.,ya súbete .,%mor:,0,,,,0,0,0,,,,,
16,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;3,.,Target_Child,.,.,33,.,+< (e)stamos .,%mor:,0,,,,0,0,0,,,,,
17,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;3,.,Target_Child,.,.,33,aux|esta-1p&pres&pret=be,+< (e)stamos .%mor: aux|esta-1P&PRES&PRET=be .,%svd:,estar,0,,1,1,p,pres,,,,,
18,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,35,?,qué vamos a jugar primero ?,%mor:,0,,,,0,0,0,,,,,
19,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,35,v|i-1p&pres=go,qué vamos a jugar primero ?%mor: pro:int|qué=what v|i-1P&PRES=go aprep|a=to inf|juga-INF=play adv|primero=first ?,%svd:,ir,0,,1,1,p,pres,,,,,
20,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;3,.,Target_Child,.,.,38,!,ya sé !,%mor:,0,,,,0,0,0,,,,,
21,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;3,.,Target_Child,.,.,38,v|sabe-1s&pres=know,ya sé !%mor: adv|ya=already v|sabe-1S&PRES=know !,%svd:,saber,0,,1,1,s,pres,,,,,
22,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,40,.,tú dime qué vamos a jugar primero .,%mor:,0,,,,0,0,0,,,,,
23,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,40,v|i-1p&pres=go,tú dime qué vamos a jugar primero .%mor: pro:sub|tú=you imp|deci-2S&IMP~pro:clit|1S=say pro:int|qué=what v|i-1P&PRES=go aprep|a=to inf|juga-INF=play adv|primero=first .,%svd:,ir,0,,1,1,p,pres,switch,switch,,,
24,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;3,.,Target_Child,.,.,43,.,+< rompecabeza(s) .,%mor:,0,,,,0,0,0,,,,,
25,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,45,?,"(en)tonces acabo de cortar el rompecabezas, &eh , ok@s:eng ?",%mor:,0,,,,0,0,0,,,,,
26,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,45,v|acaba-1s&pres=finish,"(en)tonces acabo de cortar el rompecabezas, &eh , ok@s:eng ?%mor: adv|entonces=then v|acaba-1S&PRES=finish prep|de=of inf|corta-INF=cut det:art|el&m&SG=the n|rompecabezas&m=brainteaser cm|cm cm|cm L2|ok ?",%svd:,acabar,0,,1,1,s,pres,,,,,
27,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,49,.,te hablo .,%mor:,0,,,,0,0,0,,,,,
28,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,49,v|habla-1s&pres=speak,te hablo .%mor: pro:obj|te=you v|habla-1S&PRES=speak .,%svd:,hablar,0,,1,1,s,pres,,same,,,
29,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;3,.,Target_Child,.,.,51,.,sí .,%mor:,0,,,,0,0,0,,,,,
30,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,53,?,qué figura es ésta ?,%mor:,0,,,,0,0,0,,,,,
31,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,53,v|figura-3s&pres=figure,qué figura es ésta ?%mor: pro:int|qué=what v|figura-3S&PRES=figure cop|se-3S&PRES=be pro:dem|éste-f=this_one ?,%svd:,figurar,na,na,na,na,na,na,na,na,na,tag error,
32,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,53,cop|se-3s&pres=be,qué figura es ésta ?%mor: pro:int|qué=what v|figura-3S&PRES=figure cop|se-3S&PRES=be pro:dem|éste-f=this_one ?,%svd:,ser,DP-dem,1,0,3,s,pres,,,,,
33,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;3,.,Target_Child,.,.,56,.,triángulo .,%mor:,0,,,,0,0,0,,,,,
34,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,58,.,muy bien .,%mor:,0,,,,0,0,0,,,,,
35,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;3,.,Target_Child,.,.,60,!,+< cuadrado !,%mor:,0,,,,0,0,0,,,,,
36,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,62,.,no .,%mor:,0,,,,0,0,0,,,,,
37,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,64,.,lo primero que dijiste .,%mor:,0,,,,0,0,0,,,,,
38,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,64,v|deci-2s&pret=say,lo primero que dijiste .%mor: pro:obj|lo&m=him adv|primero=first prep|que=than v|deci-2S&PRET=say .,%svd:,decir,0,,1,2,s,pret,,,,,
39,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;3,.,Target_Child,.,.,67,.,+< triángulo .,%mor:,0,,,,0,0,0,,,,,
40,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,69,.,"+< triángulo, muy bien .",%mor:,0,,,,0,0,0,,,,,
41,EAMR-2008-07-02-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,71,.,"yo te las voy a zafar toda(s) las piececita(s), la(s) vamos a cortar, (.) y las vamos a poner en este dibujito .",%mor:,0,,,,0,0,0,,,,,
