original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,pre/post,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes,
1,JGAV-2008-08-05-MV-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,13,?,qué es esto ?%mor: pro:int|qué=what cop|se-3S&PRES=be pro:dem|esto=this_one ?,%mor:,0,,,,0,0,0,,,,,
2,JGAV-2008-08-05-MV-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,13,cop|se-3s&pres=be,qué es esto ?%mor: pro:int|qué=what cop|se-3S&PRES=be pro:dem|esto=this_one ?,%svd:,ser,DP-dem,,0,3,s,pres,,,,,
3,JGAV-2008-08-05-MV-01-tagged.cha,spa,CHILEMEX,CHI,.,.,02;11,.,Target_Child,.,.,15,+...,eso +...%mor: pro:dem|eso=that_one +...,%mor:,0,,,,0,0,0,,,,,
4,JGAV-2008-08-05-MV-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,17,?,eso qué es ?%mor: pro:dem|eso=that_one pro:int|qué=what cop|se-3S&PRES=be ?,%mor:,0,,,,0,0,0,,,,,
5,JGAV-2008-08-05-MV-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,17,cop|se-3s&pres=be,eso qué es ?%mor: pro:dem|eso=that_one pro:int|qué=what cop|se-3S&PRES=be ?,%svd:,ser,DP-dem,,0,3,s,pres,,,,,
6,JGAV-2008-08-05-MV-01-tagged.cha,spa,CHILEMEX,CHI,.,.,02;11,.,Target_Child,.,.,19,.,+< este es plastilina .%mor: det:dem|este=this cop|se-3S&PRES=be n|plastilina&f=plasticine .,%mor:,0,,,,0,0,0,,,,,
7,JGAV-2008-08-05-MV-01-tagged.cha,spa,CHILEMEX,CHI,.,.,02;11,.,Target_Child,.,.,19,cop|se-3s&pres=be,+< este es plastilina .%mor: det:dem|este=this cop|se-3S&PRES=be n|plastilina&f=plasticine .,%svd:,ser,DP-dem,,0,3,s,pres,,,,,
8,JGAV-2008-08-05-MV-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,21,?,"ese es plastilina, y de qué color es esa ?%mor: det:dem|ese=that cop|se-3S&PRES=be n|plastilina&f=plasticine cm|cm coord|y=and prep|de=of pro:int|qué=what n|color&m=hue cop|se-3S&PRES=be det:dem|ese-f=that ?",%mor:,0,,,,0,0,0,,,,,
9,JGAV-2008-08-05-MV-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,21,cop|se-3s&pres=be,"ese es plastilina, y de qué color es esa ?%mor: det:dem|ese=that cop|se-3S&PRES=be n|plastilina&f=plasticine cm|cm coord|y=and prep|de=of pro:int|qué=what n|color&m=hue cop|se-3S&PRES=be det:dem|ese-f=that ?",%svd:,ser,DP-dem,,0,3,s,pres,,,,,
10,JGAV-2008-08-05-MV-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,21,cop|se-3s&pres=be,"ese es plastilina, y de qué color es esa ?%mor: det:dem|ese=that cop|se-3S&PRES=be n|plastilina&f=plasticine cm|cm coord|y=and prep|de=of pro:int|qué=what n|color&m=hue cop|se-3S&PRES=be det:dem|ese-f=that ?",%svd:,ser,DP-dem,,0,3,s,pres,,,,,
11,JGAV-2008-08-05-MV-01-tagged.cha,spa,CHILEMEX,CHI,.,.,02;11,.,Target_Child,.,.,25,.,esta &mam .%mor: det:dem|este-f=this .,%mor:,0,,,,0,0,0,,,,,
12,JGAV-2008-08-05-MV-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,27,?,"es verde, pero qué vamos a hacer con esa plastilina ?%mor: cop|se-3S&PRES=be adj|verde=green cm|cm conj|pero=but pro:int|qué=what v|i-1P&PRES=go aprep|a=to inf|hace-INF=do prep|con=with det:dem|ese-f=that n|plastilina&f=plasticine ?",%mor:,0,,,,0,0,0,,,,,
13,JGAV-2008-08-05-MV-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,27,cop|se-3s&pres=be,"es verde, pero qué vamos a hacer con esa plastilina ?%mor: cop|se-3S&PRES=be adj|verde=green cm|cm conj|pero=but pro:int|qué=what v|i-1P&PRES=go aprep|a=to inf|hace-INF=do prep|con=with det:dem|ese-f=that n|plastilina&f=plasticine ?",%svd:,ser,0,,0,3,s,pres,,,,,
14,JGAV-2008-08-05-MV-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,27,v|i-1p&pres=go,"es verde, pero qué vamos a hacer con esa plastilina ?%mor: cop|se-3S&PRES=be adj|verde=green cm|cm conj|pero=but pro:int|qué=what v|i-1P&PRES=go aprep|a=to inf|hace-INF=do prep|con=with det:dem|ese-f=that n|plastilina&f=plasticine ?",%svd:,ir,0,,1,1,p,pres,switch,switch,,,
15,JGAV-2008-08-05-MV-01-tagged.cha,spa,CHILEMEX,CHI,.,.,02;11,.,Target_Child,.,.,31,.,vamos a juga(r) .%mor: v|i-1P&PRES=go aprep|a=to inf|juga-INF=play .,%mor:,0,,,,0,0,0,,,,,
16,JGAV-2008-08-05-MV-01-tagged.cha,spa,CHILEMEX,CHI,.,.,02;11,.,Target_Child,.,.,31,v|i-1p&pres=go,vamos a juga(r) .%mor: v|i-1P&PRES=go aprep|a=to inf|juga-INF=play .,%svd:,ir,0,,1,1,p,pres,,,,,
