original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,pre/post,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes,
1,KDP-2008-07-26-MI.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,13,inf|corta-inf=cut,"despacio, despacio porque si no te puedes cortar .%mor: adv|despacio=slowly cm|cm adv|despacio=slowly conj|porque=because conj|si=if adv|no=no pro:obj|te=you v|pode-2S&PRES=can inf|corta-INF=cut .",%mor:,0,,,,0,0,0,,,,,
2,KDP-2008-07-26-MI.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,13,v|pode-2s&pres=can,"despacio, despacio porque si no te puedes cortar .%mor: adv|despacio=slowly cm|cm adv|despacio=slowly conj|porque=because conj|si=if adv|no=no pro:obj|te=you v|pode-2S&PRES=can inf|corta-INF=cut .",%svd:,poder,0,,,2,s,pres,,,,,
3,KDP-2008-07-26-MI.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,17,adv|bien=well,"clávalo fuerte, fuerte, eso muy bien .%mor: imp|clava-2S&IMP~pro:clit|OBJ&m adj|fuerte=strong cm|cm adj|fuerte=strong cm|cm pro:dem|eso=that_one adv|muy=very adv|bien=well .",%mor:,0,,,,0,0,0,,,,,
4,KDP-2008-07-26-MI.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,21,adv|despacio=slowly,"cuidado con tus dedos, hazlo despacio .%mor: n|cuidado&m=care prep|con=with det:poss|tu-PL=your n|dedo&m-PL=finger cm|cm imp|hace-2S&IMP~pro:clit|OBJ&m adv|despacio=slowly .",%mor:,0,,,,0,0,0,,,,,
5,KDP-2008-07-26-MI.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,25,det:art|el&f&sg=the,"despacio, Kamila, ya, ahora ponlos en la +/.%mor: adv|despacio=slowly cm|cm n:prop|Kamila cm|cm adv|ya=already cm|cm adv|ahora=now imp|pone-2S&IMP~pro:clit|OBJ&m&PL prep|en=in det:art|el&f&SG=the +/.",%mor:,0,,,,0,0,0,,,,,
6,KDP-2008-07-26-MI.cha,spa,CHILEMEX,CHI,.,.,3;5,.,Target_Child,.,.,29,adv|ya=already,"ya, ya, ya, ya .%mor: adv|ya=already cm|cm adv|ya=already cm|cm adv|ya=already cm|cm adv|ya=already .",%mor:,0,,,,0,0,0,,,,,
7,KDP-2008-07-26-MI.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,32,n|cazuela&f=crock,"+, en la cazuela, en la cazuela, en la cazuela .%mor: prep|en=in det:art|el&f&SG=the n|cazuela&f=crock cm|cm prep|en=in det:art|el&f&SG=the n|cazuela&f=crock cm|cm prep|en=in det:art|el&f&SG=the n|cazuela&f=crock .",%mor:,0,,,,0,0,0,,,,,
8,KDP-2008-07-26-MI.cha,spa,CHILEMEX,CHI,.,.,3;5,.,Target_Child,.,.,36,imp|pone-2s&imp~pro:clit|obj&m&pl,ya me faltan poquitosh [: poquitos] tú ponlosh [: ponlos] .%mor: adv|ya=already pro:obj|me=me v|falta-3P&PRES=be_lacking det:indef|poquito-m-PL=little pro:sub|tú=you imp|pone-2S&IMP~pro:clit|OBJ&m&PL .,%mor:,0,,,,0,0,0,,,,,
9,KDP-2008-07-26-MI.cha,spa,CHILEMEX,CHI,.,.,3;5,.,Target_Child,.,.,36,v|falta-3p&pres=be_lacking,ya me faltan poquitosh [: poquitos] tú ponlosh [: ponlos] .%mor: adv|ya=already pro:obj|me=me v|falta-3P&PRES=be_lacking det:indef|poquito-m-PL=little pro:sub|tú=you imp|pone-2S&IMP~pro:clit|OBJ&m&PL .,%svd:,faltar,na,,na,na,na,na,na,na,,gustar-type,
10,KDP-2008-07-26-MI.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,40,adv|no=no,no .%mor: adv|no=no .,%mor:,0,,,,0,0,0,,,,,
11,KDP-2008-07-26-MI.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,40,.,no .%com: mother laughing .,%com:,0,,,,0,0,0,,,,,
12,KDP-2008-07-26-MI.cha,spa,CHILEMEX,CHI,.,.,3;5,.,Target_Child,.,.,43,pro:sub|yo=i,yo ?%mor: pro:sub|yo=I ?,%mor:,0,,,,0,0,0,,,,,
13,KDP-2008-07-26-MI.cha,spa,CHILEMEX,CHI,.,.,3;5,.,Target_Child,.,.,45,co|a_ver=lets_see,"a_ver, a_ver .%mor: co|a_ver=lets_see cm|cm co|a_ver=lets_see .",%mor:,0,,,,0,0,0,,,,,
14,KDP-2008-07-26-MI.cha,spa,CHILEMEX,CHI,.,.,3;5,.,Target_Child,.,.,47,pro:indef|otro-m-pl=other,y luego lo parte en lo otrosh [: otros] .%mor: coord|y=and adv|luego=afterwards pro:obj|lo&m=him v|parti-3S&PRES=divide prep|en=in pro:obj|lo&m=him pro:indef|otro-m-PL=other .,%mor:,0,,,,0,0,0,,,,,
15,KDP-2008-07-26-MI.cha,spa,CHILEMEX,CHI,.,.,3;5,.,Target_Child,.,.,47,v|parti-3s&pres=divide,y luego lo parte en lo otrosh [: otros] .%mor: coord|y=and adv|luego=afterwards pro:obj|lo&m=him v|parti-3S&PRES=divide prep|en=in pro:obj|lo&m=him pro:indef|otro-m-PL=other .,%svd:,partir,na,,na,na,na,na,na,na,,generic,
16,KDP-2008-07-26-MI.cha,.,.,*LAD:,.,.,.,.,.,.,.,51,pro:indef|otro-m-pl=other,"sí, primero partes unos, (.) los pones en la cazuela y luego los otros .%mor: co|sí=yes cm|cm adj:num|primer-m=first v|parti-2S&PRES=divide det:art|un-m-PL=one cm|cm pro:obj|él&m-PL=he v|pone-2S&PRES=put prep|en=in det:art|el&f&SG=the n|cazuela&f=crock coord|y=and adv|luego=afterwards det:art|el&m-PL=the pro:indef|otro-m-PL=other .",%mor:,0,,,,0,0,0,,,,,
17,KDP-2008-07-26-MI.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,57,n:prop|mariana,tú ya terminaste Mari(ana) ?%mor: pro:sub|tú=you adv|ya=already v|termina-2S&PRET=end n:prop|Mariana ?,%mor:,0,,,,0,0,0,,,,,
18,KDP-2008-07-26-MI.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,57,v|termina-2s&pret=end,tú ya terminaste Mari(ana) ?%mor: pro:sub|tú=you adv|ya=already v|termina-2S&PRET=end n:prop|Mariana ?,%svd:,terminar,1,0,1,2,s,pret,,,,,
19,KDP-2008-07-26-MI.cha,spa,CHILEMEX,SIS,.,.,.,.,Sister,.,.,60,pro:sub|yo=i,yo ?%mor: pro:sub|yo=I ?,%mor:,0,,,,0,0,0,,,,,
20,KDP-2008-07-26-MI.cha,spa,CHILEMEX,SIS,.,.,.,.,Sister,.,.,62,co|no=no,"&ah mira, no .%mor: co|mira=look cm|cm co|no=no .",%mor:,0,,,,0,0,0,,,,,
21,KDP-2008-07-26-MI.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,64,v|falta-3s&pret=be_lacking,"&m, la &m , sabes qué te faltó ?%mor: cm|cm det:art|el&f&SG=the cm|cm co|sabes=you_know pro:int|qué=what pro:obj|te=you v|falta-3S&PRET=be_lacking ?",%mor:,0,,,,0,0,0,,,,,
22,KDP-2008-07-26-MI.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,64,v|falta-3s&pret=be_lacking,"&m, la &m , sabes qué te faltó ?%mor: cm|cm det:art|el&f&SG=the cm|cm co|sabes=you_know pro:int|qué=what pro:obj|te=you v|falta-3S&PRET=be_lacking ?",%svd:,faltar,na,,na,na,na,na,na,na,,gustar-type,
23,KDP-2008-07-26-MI.cha,spa,CHILEMEX,SIS,.,.,.,.,Sister,.,.,67,pro:int|qué=what,qué ?%mor: pro:int|qué=what ?,%mor:,0,,,,0,0,0,,,,,
24,KDP-2008-07-26-MI.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,69,v|olvida-3s&pret=forget,"+< lavar los limones, (.) echarle limones, (...) se te olvidó .%mor: inf|lava-INF=wash det:art|el&m-PL=the n|limón&m-PL=lemon cm|cm inf|echa-INF~pro:clit|3S n|limón&m-PL=lemon cm|cm pro:refl|se=itself pro:obj|te=you v|olvida-3S&PRET=forget .",%mor:,0,,,,0,0,0,,,,,
25,KDP-2008-07-26-MI.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,69,v|olvida-3s&pret=forget,"+< lavar los limones, (.) echarle limones, (...) se te olvidó .%mor: inf|lava-INF=wash det:art|el&m-PL=the n|limón&m-PL=lemon cm|cm inf|echa-INF~pro:clit|3S n|limón&m-PL=lemon cm|cm pro:refl|se=itself pro:obj|te=you v|olvida-3S&PRET=forget .",%svd:,olvidar,na,,na,na,na,na,na,na,,gustar-type,
26,KDP-2008-07-26-MI.cha,spa,CHILEMEX,CHI,.,.,3;5,.,Target_Child,.,.,73,pro:dem|éste=this_one,"no, yo con éste .%mor: co|no=no cm|cm pro:sub|yo=I prep|con=with pro:dem|éste=this_one .",%mor:,0,,,,0,0,0,,,,,
27,KDP-2008-07-26-MI.cha,spa,CHILEMEX,CHI,.,.,3;5,.,Target_Child,.,.,73,.,"no, yo con éste .%com: another woman in the room speaks to the mother, who holds a brief convesation with her, as the child keeps on talking in the background .",%com:,0,,,,0,0,0,,,,,
