original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,pre/post,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes,
1,OMJ-2008-07-21-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,12,.,"bueno, entonces vamos a ver .%mor: co|bueno=good cm|cm co|entonces v|i-1P&PRES=go aprep|a=to inf|ve-INF=see .",%mor:,0,,,,0,0,0,,,,,
2,OMJ-2008-07-21-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,12,v|i-1p&pres=go,"bueno, entonces vamos a ver .%mor: co|bueno=good cm|cm co|entonces v|i-1P&PRES=go aprep|a=to inf|ve-INF=see .",%svd:,ir,0,,1,1,p,pres,,,,,
3,OMJ-2008-07-21-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,15,?,"este, qué me decías del regalo de Anita ?%mor: det:dem|este=this cm|cm pro:int|qué=what pro:obj|me=me v|deci-2S&PAS=say prep|de~det:art|el&m n|regalo&m=present prep|de=of n:prop|Anita ?",%mor:,0,,,,0,0,0,,,,,
4,OMJ-2008-07-21-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,15,v|deci-2s&pas=say,"este, qué me decías del regalo de Anita ?%mor: det:dem|este=this cm|cm pro:int|qué=what pro:obj|me=me v|deci-2S&PAS=say prep|de~det:art|el&m n|regalo&m=present prep|de=of n:prop|Anita ?",%svd:,decir,0,,1,2,s,pas,,switch,,,
5,OMJ-2008-07-21-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,20,?,qué querías que le regaláramos ?%mor: pro:int|qué=what v|quere-2S&PAS=want pro:rel|que=that pro:ind|le=him v|regala-1P&SUB&PAS=give_present ?,%mor:,0,,,,0,0,0,,,,,
6,OMJ-2008-07-21-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,20,v|quere-2s&pas=want,qué querías que le regaláramos ?%mor: pro:int|qué=what v|quere-2S&PAS=want pro:rel|que=that pro:ind|le=him v|regala-1P&SUB&PAS=give_present ?,%svd:,querer,0,,1,2,s,pas,,same,0,,
7,OMJ-2008-07-21-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,20,v|regala-1p&sub&pas=give_present,qué querías que le regaláramos ?%mor: pro:int|qué=what v|quere-2S&PAS=want pro:rel|que=that pro:ind|le=him v|regala-1P&SUB&PAS=give_present ?,%svd:,regalar,0,,1,1,p,pas,switch,switch,1,,
8,OMJ-2008-07-21-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,23,.,no .%mor: adv|no=no .,%mor:,0,,,,0,0,0,,,,,
9,OMJ-2008-07-21-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,23,.,no .%com: mother laughs .,%com:,0,,,,0,0,0,,,,,
10,OMJ-2008-07-21-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,26,.,me lastimaste .%mor: pro:obj|me=me v|lastima-2S&PRET=pity .,%mor:,0,,,,0,0,0,,,,,
