original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,pre/post,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes,
1,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,12,?,sí vas a platicar mucho ?,%mor:,0,,,,0,0,0,,,,,
2,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,12,v|i-2s&pres=go,sí vas a platicar mucho ?%mor: co|sí=yes v|i-2S&PRES=go aprep|a=to inf|platica-INF=talk adv|mucho=much ?,%svd:,ir,0,,1,2,s,pres,,,,,
3,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,15,?,sí ?,%mor:,0,,,,0,0,0,,,,,
4,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,17,?,como el perico ?,%mor:,0,,,,0,0,0,,,,,
5,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,female,.,.,Target_Child,.,.,19,!,&ah !,%mor:,0,,,,0,0,0,,,,,
6,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,20,?,así hacen los pericos ?,%mor:,0,,,,0,0,0,,,,,
7,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,20,v|hace-3p&pres=do,así hacen los pericos ?%mor: adv|así=thus v|hace-3P&PRES=do det:art|el&m-PL=the n|perico&m-PL=parrot ?,%svd:,hacer,DP-def,,1,3,p,pres,,,,,
8,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,23,?,"así hacen las guacamayas, no ?",%mor:,0,,,,0,0,0,,,,,
9,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,23,v|hace-3p&pres=do,"así hacen las guacamayas, no ?%mor: adv|así=thus v|hace-3P&PRES=do det:art|el&f-PL=the n|guacamayo-f-PL=macaw cm|cm co|no=no ?",%svd:,hacer,DP-def,,1,3,p,pres,,switch,,,
10,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,26,?,"(mi)ra ya nos prestaron unos cuentos, (.) ya viste ?",%mor:,0,,,,0,0,0,,,,,
11,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,26,v|presta-3p&pret=lend,"(mi)ra ya nos prestaron unos cuentos, (.) ya viste ?%mor: co|mira=look adv|ya=already pro:obj|nos=us v|presta-3P&PRET=lend det:art|un-m-PL=one n|cuento&m-PL=story cm|cm adv|ya=already v|ve-2S&PRET=see ?",%svd:,prestar,na,na,na,na,na,na,na,na,generic,,
12,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,26,v|ve-2s&pret=see,"(mi)ra ya nos prestaron unos cuentos, (.) ya viste ?%mor: co|mira=look adv|ya=already pro:obj|nos=us v|presta-3P&PRET=lend det:art|un-m-PL=one n|cuento&m-PL=story cm|cm adv|ya=already v|ve-2S&PRET=see ?",%svd:,ver,na,na,na,na,na,na,na,na,na,exclude,
13,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,30,?,cuál te gusta más ?,%mor:,0,,,,0,0,0,,,,,
14,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,30,.,cuál te gusta +/.,%mor:,0,,,,0,0,0,,,,,
15,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,30,v|gusta-3s&pres=like,cuál te gusta más ?%mor: pro:int|cuál=which pro:obj|te=you v|gusta-3S&PRES=like adv|más=more ?,%svd:,gustar,na,na,na,na,na,na,na,na,na,gustar-type verb,
16,PLG-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,33,v|gusta-3s&pres=like,cuál te gusta +/.%mor: pro:int|cuál=which pro:obj|te=you v|gusta-3S&PRES=like +/.,%svd:,gustar,na,na,na,na,na,na,na,na,na,gustar-type verb,
