original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,pre/post,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes,
1,YBM-2008-07-30-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,12,v|sali-3s&pres=leave,"xxx, sale .%mor: cm|cm v|sali-3S&PRES=leave .",%mor:,0,,,,0,0,0,,,,,
2,YBM-2008-07-30-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,12,v|sali-3s&pres=leave,"xxx, sale .%mor: cm|cm v|sali-3S&PRES=leave .",%svd:,salir,na,,na,na,na,na,na,na,na,exclude,
3,YBM-2008-07-30-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,14,n:prop|yaretzi,"muy bien, Yaretzi .%mor: adv|muy=very adv|bien=well cm|cm n:prop|Yaretzi .",%mor:,0,,,,0,0,0,,,,,
4,YBM-2008-07-30-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,16,pro:int|qué=what,de qué ?%mor: prep|de=of pro:int|qué=what ?,%mor:,0,,,,0,0,0,,,,,
5,YBM-2008-07-30-MI-01-tagged.cha,spa,CHILEMEX,CHI,.,.,4;8,.,Target_Child,.,.,18,n:let|k,ahora k@l +/.%mor: adv|ahora=now n:let|k +/.,%mor:,0,,,,0,0,0,,,,,
6,YBM-2008-07-30-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,20,n:let|l,ahora sigue la l@l .%mor: adv|ahora=now v|segui-3S&PRES=follow det:art|el&f&SG=the n:let|l .,%mor:,0,,,,0,0,0,,,,,
7,YBM-2008-07-30-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,20,v|segui-3s&pres=follow,ahora sigue la l@l .%mor: adv|ahora=now v|segui-3S&PRES=follow det:art|el&f&SG=the n:let|l .,%svd:,seguir,DP-def,,0,3,s,pres,,,,,
8,YBM-2008-07-30-MI-01-tagged.cha,spa,CHILEMEX,CHI,.,.,4;8,.,Target_Child,.,.,22,n:let|l,cuál es la l@l ?%mor: pro:int|cuál=which cop|se-3S&PRES=be det:art|el&f&SG=the n:let|l ?,%mor:,0,,,,0,0,0,,,,,
9,YBM-2008-07-30-MI-01-tagged.cha,spa,CHILEMEX,CHI,.,.,4;8,.,Target_Child,.,.,22,cop|se-3s&pres=be,cuál es la l@l ?%mor: pro:int|cuál=which cop|se-3S&PRES=be det:art|el&f&SG=the n:let|l ?,%svd:,ser,DP-def,,0,3,s,pres,,,,,
10,YBM-2008-07-30-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,24,adv|así=thus,la que es así .%mor: pro:head|la&f=she pro:rel|que=that cop|se-3S&PRES=be adv|así=thus .,%mor:,0,,,,0,0,0,,,,,
11,YBM-2008-07-30-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,24,cop|se-3s&pres=be,la que es así .%mor: pro:head|la&f=she pro:rel|que=that cop|se-3S&PRES=be adv|así=thus .,%svd:,ser,na,,na,na,na,na,na,na,na,relative clause,
12,YBM-2008-07-30-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,26,n|papá&m=papa,p@l de papá .%mor: n:let|p prep|de=of n|papá&m=papa .,%mor:,0,,,,0,0,0,,,,,
13,YBM-2008-07-30-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,28,n|casa&f=house,y (.) c@l de casa .%mor: coord|y=and n:let|c prep|de=of n|casa&f=house .,%mor:,0,,,,0,0,0,,,,,
14,YBM-2008-07-30-MI-01-tagged.cha,spa,CHILEMEX,CHI,.,.,4;8,.,Target_Child,.,.,30,&uuumm,&uuumm .,%mor:,0,,,,0,0,0,,,,,
15,YBM-2008-07-30-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,31,adv|así=thus,la que es así .%mor: pro:head|la&f=she pro:rel|que=that cop|se-3S&PRES=be adv|así=thus .,%mor:,0,,,,0,0,0,,,,,
16,YBM-2008-07-30-MI-01-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,31,cop|se-3s&pres=be,la que es así .%mor: pro:head|la&f=she pro:rel|que=that cop|se-3S&PRES=be adv|así=thus .,%svd:,ser,na,,na,na,na,na,na,na,na,relative clause,
