original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,pre/post,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes,
1,YGSZ-2008-07-14-MV.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,12,co|a_ver=lets_see,a_ver .%mor: co|a_ver=lets_see .,%mor:,0,,,,0,0,0,,,,,
2,YGSZ-2008-07-14-MV.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,14,inf|pinta-inf=paint,qué vas a pintar ?%mor: pro:int|qué=what v|i-2S&PRES=go aprep|a=to inf|pinta-INF=paint ?,%mor:,0,,,,0,0,0,,,,,
3,YGSZ-2008-07-14-MV.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,14,v|i-2s&pres=go,qué vas a pintar ?%mor: pro:int|qué=what v|i-2S&PRES=go aprep|a=to inf|pinta-INF=paint ?,%svd:,ir,0,,1,2,s,pres,,,,,
4,YGSZ-2008-07-14-MV.cha,spa,CHILEMEX,CHI,.,.,2;11,.,Target_Child,.,.,16,adj|amarillo-m=yellow,este amarillo .%mor: det:dem|este=this adj|amarillo-m=yellow .,%mor:,0,,,,0,0,0,,,,,
5,YGSZ-2008-07-14-MV.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,18,adj|amarillo-m=yellow,con el color amarillo ?%mor: prep|con=with det:art|el&m&SG=the n|color&m=hue adj|amarillo-m=yellow ?,%mor:,0,,,,0,0,0,,,,,
6,YGSZ-2008-07-14-MV.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,21,inf|saca-inf~pro:clit|obj&m&pl,"a_ver, vamos a sacarlos .%mor: co|a_ver=lets_see cm|cm v|i-1P&PRES=go aprep|a=to inf|saca-INF~pro:clit|OBJ&m&PL .",%mor:,0,,,,0,0,0,,,,,
7,YGSZ-2008-07-14-MV.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,21,v|i-1p&pres=go,"a_ver, vamos a sacarlos .%mor: co|a_ver=lets_see cm|cm v|i-1P&PRES=go aprep|a=to inf|saca-INF~pro:clit|OBJ&m&PL .",%svd:,ir,0,,1,1,p,pres,,,,,
8,YGSZ-2008-07-14-MV.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,24,inf|hace-inf=do,qué vas a hacer ?%mor: pro:int|qué=what v|i-2S&PRES=go aprep|a=to inf|hace-INF=do ?,%mor:,0,,,,0,0,0,,,,,
9,YGSZ-2008-07-14-MV.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,24,v|i-2s&pres=go,qué vas a hacer ?%mor: pro:int|qué=what v|i-2S&PRES=go aprep|a=to inf|hace-INF=do ?,%svd:,ir,0,,1,2,s,pres,,switch,,,
10,YGSZ-2008-07-14-MV.cha,spa,CHILEMEX,CHI,.,.,2;11,.,Target_Child,.,.,26,adj|amarillo-m=yellow,amarillo .%mor: adj|amarillo-m=yellow .,%mor:,0,,,,0,0,0,,,,,
