original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier
1,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,8,.,una casa .%mor: det:art|un-f=one n|casa&f=house .,%mor:
2,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,10,?,en Oviedo ?%mor: prep|en=in n:prop|Oviedo ?,%mor:
3,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,12,.,no (.) una casa .%mor: adv|no=no det:art|un-f=one n|casa&f=house .,%mor:
4,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,14,?,ah (.) es la casa de Sergio (.) sí ?%mor: co|ah cop|se-3S&PRES=be det:art|el&f&SG=the n|casa&f=house prep|de=of n:prop|Sergio co|sí=yes ?,%mor:
5,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,17,.,sí .%mor: co|sí=yes .,%mor:
6,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,19,?,ah (.) oye (.) y (.) cuántos años tienes ?%mor: co|ah co|oye=listen coord|y=and pro:int|cuánto-m-PL=how_much n|año&m-PL=year v|tene-2S&PRES=have ?,%mor:
7,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,22,.,dos .%mor: det:num|dos=two .,%mor:
8,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,24,?,dos (.) <a ver> [/] a_ver (.) qué son estos ?%mor: det:num|dos=two co|a_ver=lets_see pro:int|qué=what cop|se-3P&PRES=be det:dem|este-m-PL=this ?,%mor:
9,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,27,.,cuántos tengo (..) tres .%mor: pro:int|cuánto-m-PL=how_much v|tene-1S&PRES=have det:num|tres=three .,%mor:
10,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,30,.,ah (.) tienes tres añitos .%mor: co|ah v|tene-2S&PRES=have det:num|tres=three n|año&m-DIM-PL=year .,%mor:
11,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,34,.,<ni de esto> [/] <ni de esto> [/] <ni de esto> [/] ni de esto ni nada .%mor: coord|ni=nor prep|de=of pro:dem|esto=this_one coord|ni=nor pro:indef|nada=nothing .,%mor:
12,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,39,.,vale venga .%mor: co|vale=okay co|venga=come_on .,%mor:
13,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,43,?,xxx cierro la puerta (.) qué quieres que te haga ?%mor: v|cerra-1S&PRES=close det:art|el&f&SG=the n|puerta&f=door pro:int|qué=what v|quere-2S&PRES=want pro:rel|que=that pro:obj|te=you v|hace-13S&SUB&PRES=do ?,%mor:
14,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,47,!,enciéndela ahora !%mor: imp|encende-2S&IMP~pro:clit|OBJ&f=light adv|ahora=now !,%mor:
15,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,50,.,vamos a hablar un poco .%mor: v|i-1P&PRES=go aprep|a=to inf|habla-INF=speak det:art|un&m=one adv|poco=few .,%mor:
16,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,53,.,<bueno (.) pero pimero [*]> [//] bueno (.) te contaré el cuento si quieres .%mor: co|bueno=good pro:obj|te=you v|conta-1S&FUT=count_tell det:art|el&m&SG=the n|cuento&m=story conj|si=if v|quere-2S&PRES=want .,%mor:
17,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,59,.,venga vale .%mor: co|venga=come_on co|vale=okay .,%mor:
18,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,61,?,quieres (..) quieres ?%mor: v|quere-2S&PRES=want v|quere-2S&PRES=want ?,%mor:
19,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,63,.,sí [/] sí .%mor: co|sí=yes .,%mor:
20,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,65,.,ah (.) bueno .%mor: co|ah co|bueno=good .,%mor:
21,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,70,.,pero espera que borre (..) <pa que> [//] no me entiendes .%mor: conj|pero=but v|espera-3S&PRES=wait pro:rel|que=that v|borra-13S&SUB&PRES=erase adv|no=no pro:obj|me=me v|entende-2S&PRES=understand .,%mor:
22,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,75,.,sí (.) venga borra .%mor: co|sí=yes co|venga=come_on v|borra-3S&PRES=erase .,%mor:
23,01dtz30m.cha,spa,DiezItza,CHI,3;02.09,.,.,.,Target_Child,.,.,77,.,pues entonces (.) no tengo (.) más (.) xxx .%mor: co|pues=well adv|entonces=then adv|no=no v|tene-1S&PRES=have adv|más=more .,%mor:
24,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,80,.,muy bien .%mor: adv|muy=very adv|bien=well .,%mor:
25,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,82,.,venga .%mor: co|venga=come_on .,%mor:
26,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,87,?,para qué juegues ?%mor: prep|para=for pro:int|qué=what v|juga-2S&SUB&PRES=play ?,%mor:
27,01dtz30m.cha,spa,DiezItza,INV,.,.,.,.,Investigator,.,.,91,.,para que juegues .%mor: prep|para=for pro:rel|que=that v|juga-2S&SUB&PRES=play .,%mor:
