original_order,file,filetype,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes,
1,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,CHI,3;5.,male,.,.,Target_Child,.,.,15,!,&upa !,%mor:,0,,,0,0,0,,,,,
2,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,16,?,&ah upa conmigo ?%mor: co|upa=up adv|conmigo=with_me ?,%mor:,0,,,0,0,0,,,,,
3,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,CHI,3;5.,male,.,.,Target_Child,.,.,18,.,sí .%mor: co|sí=yes .,%mor:,0,,,0,0,0,,,,,
4,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,20,.,bueno .%mor: co|bueno=good .,%mor:,0,,,0,0,0,,,,,
5,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,CHI,3;5.,male,.,.,Target_Child,.,.,22,.,"acá sienta, mami .%mor: adv|acá=there v|senta-3S&PRES=sit cm|cm n|mami&f=mommy .",%mor:,0,,,0,0,0,,,,,
6,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,CHI,3;5.,male,.,.,Target_Child,.,.,22,v|senta-3s&pres=sit,"acá sienta, mami .%mor: adv|acá=there v|senta-3S&PRES=sit cm|cm n|mami&f=mommy .",%svd:,sentar,na,na,na,na,na,na,na,na,imperative,
7,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,24,.,"bueno, me siento acá .%mor: co|bueno=good cm|cm pro:obj|me=me v|senti-1S&PRES=feel adv|acá=there .",%mor:,0,,,0,0,0,,,,,
8,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,24,v|senti-1s&pres=feel,"bueno, me siento acá .%mor: co|bueno=good cm|cm pro:obj|me=me v|senti-1S&PRES=feel adv|acá=there .",%svd:,sentar,0,1,1,s,pres,,,,,
9,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,27,.,e(s) de re mamiti(s)@wp .%mor: cop|se-3S&PRES=be prep|de=of adv|re=really wplay|mamitis .,%mor:,0,,,0,0,0,,,,,
10,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,27,cop|se-3s&pres=be,e(s) de re mamiti(s)@wp .%mor: cop|se-3S&PRES=be prep|de=of adv|re=really wplay|mamitis .,%svd:,ser,0,0,3,s,pres,,,,,
11,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,29,.,a_ver .%mor: co|a_ver=lets_see .,%mor:,0,,,0,0,0,,,,,
12,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,CHI,3;5.,male,.,.,Target_Child,.,.,31,!,mamá !%mor: n|mamá&f=mommy !,%mor:,0,,,0,0,0,,,,,
13,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,33,?,"qué, mi amor ?%mor: pro:int|qué=what cm|cm det:poss|mi=my co:voc|amor=love ?",%mor:,0,,,0,0,0,,,,,
14,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,CHI,3;5.,male,.,.,Target_Child,.,.,35,.,"así querés, milá [: mirá], así, así .%mor: adv|así=thus v|quere-2S&PRES=want cm|cm co|mirá cm|cm adv|así=thus cm|cm adv|así=thus .",%mor:,0,,,0,0,0,,,,,
15,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,CHI,3;5.,male,.,.,Target_Child,.,.,35,v|quere-2s&pres=want,"así querés, milá [: mirá], así, así .%mor: adv|así=thus v|quere-2S&PRES=want cm|cm co|mirá cm|cm adv|así=thus cm|cm adv|así=thus .",%svd:,querer,0,1,2,s,pres,,,,,
16,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,38,v|tene-1s&pres=have,+< tengo +/.%mor: v|tene-1S&PRES=have +/.,%mor:,0,,,0,0,0,,,,,
17,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,38,v|tene-1s&pres=have,+< tengo +/.%mor: v|tene-1S&PRES=have +/.,%svd:,tener,0,1,1,s,pres,,,,,
18,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,40,!,Óscar !%mor: n:prop|Óscar !,%mor:,0,,,0,0,0,,,,,
19,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,CHI,3;5.,male,.,.,Target_Child,.,.,42,?,qué ?%mor: pro:int|qué=what ?,%mor:,0,,,0,0,0,,,,,
20,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,44,?,"Óscar, no querés jugar con la arena un ratito ?%mor: n:prop|Óscar cm|cm co|no=no v|quere-2S&PRES=want inf|juga-INF=play prep|con=with det:art|el&f&SG=the n|arena&f=sand det:art|un&m=one n|rato&m-DIM=rat ?",%mor:,0,,,0,0,0,,,,,
21,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,44,v|quere-2s&pres=want,"Óscar, no querés jugar con la arena un ratito ?%mor: n:prop|Óscar cm|cm co|no=no v|quere-2S&PRES=want inf|juga-INF=play prep|con=with det:art|el&f&SG=the n|arena&f=sand det:art|un&m=one n|rato&m-DIM=rat ?",%svd:,querer,0,1,2,s,pres,,,,,
22,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,48,?,querés jugar con papi ?%mor: v|quere-2S&PRES=want inf|juga-INF=play prep|con=with n|papi&m=daddy ?,%mor:,0,,,0,0,0,,,,,
23,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,48,v|quere-2s&pres=want,querés jugar con papi ?%mor: v|quere-2S&PRES=want inf|juga-INF=play prep|con=with n|papi&m=daddy ?,%svd:,querer,0,1,2,s,pres,,,,,
24,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,CHI,3;5.,male,.,.,Target_Child,.,.,51,.,no .%mor: adv|no=no .,%mor:,0,,,0,0,0,,,,,
25,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,53,!,&uuuuuuj !,%mor:,0,,,0,0,0,,,,,
26,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,54,?,no querés jugar con papi ?%mor: adv|no=no v|quere-2S&PRES=want inf|juga-INF=play prep|con=with n|papi&m=daddy ?,%mor:,0,,,0,0,0,,,,,
27,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,54,v|quere-2s&pres=want,no querés jugar con papi ?%mor: adv|no=no v|quere-2S&PRES=want inf|juga-INF=play prep|con=with n|papi&m=daddy ?,%svd:,querer,0,1,2,s,pres,,,,,
28,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,CHI,3;5.,male,.,.,Target_Child,.,.,57,.,"&ss, sí .%mor: cm|cm co|sí=yes .",%mor:,0,,,0,0,0,,,,,
29,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,59,!,"bueno, andá con papi !%mor: co|bueno=good cm|cm co|andá=come_on prep|con=with n|papi&m=daddy !",%mor:,0,,,0,0,0,,,,,
30,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,61,.,así yo juego con mamá un ratito .%mor: adv|así=thus pro:sub|yo=I n|juego&m=game prep|con=with n|mamá&f=mommy det:art|un&m=one n|rato&m-DIM=rat .,%mor:,0,,,0,0,0,,,,,
31,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,64,!,prestame a mamá un ratito !%mor: imp|presta-2S&IMP~pro:clit|1S=lend aprep|a=to n|mamá&f=mommy det:art|un&m=one n|rato&m-DIM=rat !,%mor:,0,,,0,0,0,,,,,
32,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,CHI,3;5.,male,.,.,Target_Child,.,.,67,?,"+< mamá, y papi, mamá ?%mor: n|mamá&f=mommy cm|cm coord|y=and n|papi&m=daddy cm|cm n|mamá&f=mommy ?",%mor:,0,,,0,0,0,,,,,
33,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,70,.,con papi .%mor: prep|con=with n|papi&m=daddy .,%mor:,0,,,0,0,0,,,,,
34,LG-EB-2018-10-01-biling-EB-tagged.cha,mot-inv,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,72,.,acá nomás me quedo .%mor: adv|acá=there adv|nomás=only pro:obj|me=me v|queda-1S&PRES=stay .,%mor:,0,,,0,0,0,,,,,
